statYear,m0Year,m0YearYOY,m1Year,m1YearYOY,m2Year,m2YearYOY
2023,113444.640000,8.300000,680542.520000,1.300000,2922713.330000,9.700000
2024,128000.000000,13.000000,671000.000000,-1.400000,3135000.000000,7.300000
